"COUNTY","NAME","YEAR","h1b_activity","win_rate","shannon_index","hhi"
"37129","New Hanover County, North Carolina",2013,1,0.58974358974359,4.56791698707049,177.914766899554
"37129","New Hanover County, North Carolina",2014,1,0.58974358974359,4.56188660495248,180.766473590521
"37129","New Hanover County, North Carolina",2015,1,0.58974358974359,4.555462138668,183.408452265926
"37129","New Hanover County, North Carolina",2016,1,0.58974358974359,4.54098849061841,186.508078819312
"37129","New Hanover County, North Carolina",2017,1,0.58974358974359,4.48085679231,192.712771766658
"37129","New Hanover County, North Carolina",2018,1,0.58974358974359,4.46610944156087,197.647702522672
"37129","New Hanover County, North Carolina",2019,1,0.58974358974359,4.46911029998781,196.057175364531
"37129","New Hanover County, North Carolina",2020,1,0.58974358974359,4.45642410132068,196.987463994483
"37129","New Hanover County, North Carolina",2021,1,0.58974358974359,4.45036317392185,196.96374048053
"37129","New Hanover County, North Carolina",2022,1,0.58974358974359,4.44933398954696,198.096315049383
"37141","Pender County, North Carolina",2012,1,0.72,4.33097928533738,226.61579373338
"37141","Pender County, North Carolina",2013,1,0.72,4.32707261698737,225.257704427709
"37141","Pender County, North Carolina",2014,1,0.72,4.28967061484262,236.783887655204
"37141","Pender County, North Carolina",2015,1,0.72,4.27419399314425,255.224353063807
"37141","Pender County, North Carolina",2016,1,0.72,4.27748293494116,253.10349388638
"37141","Pender County, North Carolina",2017,1,0.72,3.99796306056936,289.16237176927
"37141","Pender County, North Carolina",2018,1,0.72,3.97640124994934,298.071192936428
"37141","Pender County, North Carolina",2019,1,0.72,3.93719255963113,301.138620661491
"37141","Pender County, North Carolina",2020,1,0.72,3.9530575992093,298.290907777239
"37141","Pender County, North Carolina",2021,1,0.72,3.94020283205498,312.449758447548
"37141","Pender County, North Carolina",2022,1,0.72,3.98374624198253,301.771357262612
"37179","Union County, North Carolina",2012,1,0.181818181818182,4.55689295332166,182.296303331782
"37179","Union County, North Carolina",2013,1,0.181818181818182,4.54479918932842,182.191552647234
"37179","Union County, North Carolina",2014,1,0.181818181818182,4.54507101781323,180.455989302701
"37179","Union County, North Carolina",2015,1,0.181818181818182,4.52737269109424,184.736826786636
"37179","Union County, North Carolina",2016,1,0.181818181818182,4.50818791187889,188.815829160886
